Pregunta,Consulta,Tabla,Valores,Categoría
Muéstrame todas las licitaciones de Patrimonial en Alcaldía del Ayuntamiento de Navalmoral de la Mata que no superen 464000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldía del Ayuntamiento de Navalmoral de la Mata' AND expedientes.procurement_project_type_code = 'Patrimonial' AND expedientes.total_amount < 464000;,expedientes,"{'tipo': 'Patrimonial', 'entidad': 'Alcaldía del Ayuntamiento de Navalmoral de la Mata', 'cuantia': 464000}",entidad_tipo_cuantia_inferior
Busco expedientes de Suministros en Alcaldía del Ayuntamiento de Badajoz sin superar 167000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldía del Ayuntamiento de Badajoz' AND expedientes.procurement_project_type_code = 'Suministros' AND expedientes.total_amount < 167000;,expedientes,"{'tipo': 'Suministros', 'entidad': 'Alcaldía del Ayuntamiento de Badajoz', 'cuantia': 167000}",entidad_tipo_cuantia_inferior
¿Podrías indicarme todos los expedientes de Obras en Junta de Gobierno del Ayuntamiento de Guadarrama que no superen 520000€?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Junta de Gobierno del Ayuntamiento de Guadarrama' AND expedientes.procurement_project_type_code = 'Obras' AND expedientes.total_amount < 520000;,expedientes,"{'tipo': 'Obras', 'entidad': 'Junta de Gobierno del Ayuntamiento de Guadarrama', 'cuantia': 520000}",entidad_tipo_cuantia_inferior
Enseña los expedientes de Concesión de Servicios en Consejería de Medio Rural y Política Agraria con importes inferiores a 566000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Consejería de Medio Rural y Política Agraria' AND expedientes.procurement_project_type_code = 'Concesión de Servicios' AND expedientes.total_amount < 566000;,expedientes,"{'tipo': 'Concesión de Servicios', 'entidad': 'Consejería de Medio Rural y Política Agraria', 'cuantia': 566000}",entidad_tipo_cuantia_inferior
"Quiero ver las licitaciones de Servicios más recientes en Consejo de Administración de la Empresa de Servicios Municipales de Alcorcón, S.A.U. con cuantía inferior a 55000€.","SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Consejo de Administración de la Empresa de Servicios Municipales de Alcorcón, S.A.U.' AND expedientes.procurement_project_type_code = 'Servicios' AND expedientes.total_amount < 55000;",expedientes,"{'tipo': 'Servicios', 'entidad': 'Consejo de Administración de la Empresa de Servicios Municipales de Alcorcón, S.A.U.', 'cuantia': 55000}",entidad_tipo_cuantia_inferior
"Expedientes de Gestión de Servicios Públicos en Dirección Gerencia de la Fundación Jóvenes y Deporte, con importe por debajo de 918000€, ¿tienes un listado?",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Dirección Gerencia de la Fundación Jóvenes y Deporte' AND expedientes.procurement_project_type_code = 'Gestión de Servicios Públicos' AND expedientes.total_amount < 918000;,expedientes,"{'tipo': 'Gestión de Servicios Públicos', 'entidad': 'Dirección Gerencia de la Fundación Jóvenes y Deporte', 'cuantia': 918000}",entidad_tipo_cuantia_inferior
"Busco licitaciones de Privado en Mutua Universal Mugenat, Mutua Colaboradora con la Seguridad Social nº sin superar 63000€.","SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Mutua Universal Mugenat, Mutua Colaboradora con la Seguridad Social nº' AND expedientes.procurement_project_type_code = 'Privado' AND expedientes.total_amount < 63000;",expedientes,"{'tipo': 'Privado', 'entidad': 'Mutua Universal Mugenat, Mutua Colaboradora con la Seguridad Social nº', 'cuantia': 63000}",entidad_tipo_cuantia_inferior
"En Alcaldía del Ayuntamiento de Moclín, ¿qué expedientes de Privado se encuentran por debajo de 531000€?",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldía del Ayuntamiento de Moclín' AND expedientes.procurement_project_type_code = 'Privado' AND expedientes.total_amount < 531000;,expedientes,"{'entidad': 'Alcaldía del Ayuntamiento de Moclín', 'tipo': 'Privado', 'cuantia': 531000}",entidad_tipo_cuantia_inferior
"Contratos de Patrimonial en Alcaldía del Ayuntamiento de San Roque, con montos menores a 531000€, ¿qué opciones hay?",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldía del Ayuntamiento de San Roque' AND expedientes.procurement_project_type_code = 'Patrimonial' AND expedientes.total_amount < 531000;,expedientes,"{'tipo': 'Patrimonial', 'entidad': 'Alcaldía del Ayuntamiento de San Roque', 'cuantia': 531000}",entidad_tipo_cuantia_inferior
Quiero ver las licitaciones de Patrimonial más recientes en Vicepresidencia del Consejo de Administración de la Entidad Pública de Saneamiento de Aguas Residuales de la Comunidad Valenciana con cuantía inferior a 597000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Vicepresidencia del Consejo de Administración de la Entidad Pública de Saneamiento de Aguas Residuales de la Comunidad Valenciana' AND expedientes.procurement_project_type_code = 'Patrimonial' AND expedientes.total_amount < 597000;,expedientes,"{'tipo': 'Patrimonial', 'entidad': 'Vicepresidencia del Consejo de Administración de la Entidad Pública de Saneamiento de Aguas Residuales de la Comunidad Valenciana', 'cuantia': 597000}",entidad_tipo_cuantia_inferior
Lista todos los expedientes de Obras en Junta de Gobierno del Ayuntamiento de San Agustín del Guadalix que no superen 347000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Junta de Gobierno del Ayuntamiento de San Agustín del Guadalix' AND expedientes.procurement_project_type_code = 'Obras' AND expedientes.total_amount < 347000;,expedientes,"{'tipo': 'Obras', 'entidad': 'Junta de Gobierno del Ayuntamiento de San Agustín del Guadalix', 'cuantia': 347000}",entidad_tipo_cuantia_inferior
Quiero ver los expedientes de Suministros más recientes en Pleno del Ayuntamiento de Cañizares con cuantía inferior a 572000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Pleno del Ayuntamiento de Cañizares' AND expedientes.procurement_project_type_code = 'Suministros' AND expedientes.total_amount < 572000;,expedientes,"{'tipo': 'Suministros', 'entidad': 'Pleno del Ayuntamiento de Cañizares', 'cuantia': 572000}",entidad_tipo_cuantia_inferior
Filtra todos los contratos de Gestión de Servicios Públicos en Rectorado de la Universidad Jaume I con un tope máximo de 992000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Rectorado de la Universidad Jaume I' AND expedientes.procurement_project_type_code = 'Gestión de Servicios Públicos' AND expedientes.total_amount < 992000;,expedientes,"{'tipo': 'Gestión de Servicios Públicos', 'entidad': 'Rectorado de la Universidad Jaume I', 'cuantia': 992000}",entidad_tipo_cuantia_inferior
¿Cuántos expedientes de Gestión de Servicios Públicos hay en Junta de Gobierno Local de Ayuntamiento de Puente Genil con cuantía inferior a 121000€?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Junta de Gobierno Local de Ayuntamiento de Puente Genil' AND expedientes.procurement_project_type_code = 'Gestión de Servicios Públicos' AND expedientes.total_amount < 121000;,expedientes,"{'tipo': 'Gestión de Servicios Públicos', 'entidad': 'Junta de Gobierno Local de Ayuntamiento de Puente Genil', 'cuantia': 121000}",entidad_tipo_cuantia_inferior
Muéstrame todos los contratos de Servicios en Consejero Delegado de la Empresa Municipal de Aguas de Málaga S.A. que no superen 459000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Consejero Delegado de la Empresa Municipal de Aguas de Málaga S.A.' AND expedientes.procurement_project_type_code = 'Servicios' AND expedientes.total_amount < 459000;,expedientes,"{'tipo': 'Servicios', 'entidad': 'Consejero Delegado de la Empresa Municipal de Aguas de Málaga S.A.', 'cuantia': 459000}",entidad_tipo_cuantia_inferior
Enseña los expedientes de Concesión de Servicios en Alcaldía del Ayuntamiento Barxeta con importes inferiores a 55000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldía del Ayuntamiento Barxeta' AND expedientes.procurement_project_type_code = 'Concesión de Servicios' AND expedientes.total_amount < 55000;,expedientes,"{'tipo': 'Concesión de Servicios', 'entidad': 'Alcaldía del Ayuntamiento Barxeta', 'cuantia': 55000}",entidad_tipo_cuantia_inferior
¿Qué expedientes de Suministros hay en Dirección General LogiRail S.A. con cuantía menor a 435000€?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Dirección General LogiRail S.A.' AND expedientes.procurement_project_type_code = 'Suministros' AND expedientes.total_amount < 435000;,expedientes,"{'tipo': 'Suministros', 'entidad': 'Dirección General LogiRail S.A.', 'cuantia': 435000}",entidad_tipo_cuantia_inferior
Lista todos los expedientes de Concesión de Servicios en CONSEJO DE ADMINISTRACION DE LA EMPRESA PUBLICA DE APARCAMIENTOS Y SERVICIOS SA (EPASSA) que no superen 82000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'CONSEJO DE ADMINISTRACION DE LA EMPRESA PUBLICA DE APARCAMIENTOS Y SERVICIOS SA (EPASSA)' AND expedientes.procurement_project_type_code = 'Concesión de Servicios' AND expedientes.total_amount < 82000;,expedientes,"{'tipo': 'Concesión de Servicios', 'entidad': 'CONSEJO DE ADMINISTRACION DE LA EMPRESA PUBLICA DE APARCAMIENTOS Y SERVICIOS SA (EPASSA)', 'cuantia': 82000}",entidad_tipo_cuantia_inferior
Lista todas las licitaciones de Servicios en Concejalía Delegada de Contratación del Ayuntamiento de Puerto del Rosario que no superen 590000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Concejalía Delegada de Contratación del Ayuntamiento de Puerto del Rosario' AND expedientes.procurement_project_type_code = 'Servicios' AND expedientes.total_amount < 590000;,expedientes,"{'tipo': 'Servicios', 'entidad': 'Concejalía Delegada de Contratación del Ayuntamiento de Puerto del Rosario', 'cuantia': 590000}",entidad_tipo_cuantia_inferior
Enseña los contratos de Suministros en Junta de Gobierno del Ayuntamiento de Inca con importes inferiores a 435000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Junta de Gobierno del Ayuntamiento de Inca' AND expedientes.procurement_project_type_code = 'Suministros' AND expedientes.total_amount < 435000;,expedientes,"{'tipo': 'Suministros', 'entidad': 'Junta de Gobierno del Ayuntamiento de Inca', 'cuantia': 435000}",entidad_tipo_cuantia_inferior
"Busco contratos de Privado en Consejo de Administración de la Entidad Pública Empresarial Local Balsas de Tenerife, BALTEN del Cabildo Insular de Tenerife sin superar 632000€.","SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Consejo de Administración de la Entidad Pública Empresarial Local Balsas de Tenerife, BALTEN del Cabildo Insular de Tenerife' AND expedientes.procurement_project_type_code = 'Privado' AND expedientes.total_amount < 632000;",expedientes,"{'tipo': 'Privado', 'entidad': 'Consejo de Administración de la Entidad Pública Empresarial Local Balsas de Tenerife, BALTEN del Cabildo Insular de Tenerife', 'cuantia': 632000}",entidad_tipo_cuantia_inferior
Muéstrame todos los expedientes de Obras en Gerencia de Asistencia Sanitaria del Bierzo que no superen 490000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Gerencia de Asistencia Sanitaria del Bierzo' AND expedientes.procurement_project_type_code = 'Obras' AND expedientes.total_amount < 490000;,expedientes,"{'tipo': 'Obras', 'entidad': 'Gerencia de Asistencia Sanitaria del Bierzo', 'cuantia': 490000}",entidad_tipo_cuantia_inferior
"Lista todos los contratos de Concesión de Servicios en Presidencia del Consorcio para el Servicio de Prevención Extinción de Incendios, Protección Civil y Salvamento de la Provincia de Guadalajara que no superen 757000€.","SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Presidencia del Consorcio para el Servicio de Prevención Extinción de Incendios, Protección Civil y Salvamento de la Provincia de Guadalajara' AND expedientes.procurement_project_type_code = 'Concesión de Servicios' AND expedientes.total_amount < 757000;",expedientes,"{'tipo': 'Concesión de Servicios', 'entidad': 'Presidencia del Consorcio para el Servicio de Prevención Extinción de Incendios, Protección Civil y Salvamento de la Provincia de Guadalajara', 'cuantia': 757000}",entidad_tipo_cuantia_inferior
Solicito información de expedientes de Patrimonial en Junta de Gobierno del Ayuntamiento de Alcobendas que no rebasen 864000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Junta de Gobierno del Ayuntamiento de Alcobendas' AND expedientes.procurement_project_type_code = 'Patrimonial' AND expedientes.total_amount < 864000;,expedientes,"{'tipo': 'Patrimonial', 'entidad': 'Junta de Gobierno del Ayuntamiento de Alcobendas', 'cuantia': 864000}",entidad_tipo_cuantia_inferior
Necesito consultar licitaciones de Servicios en Junta de Gobierno del Ayuntamiento de Almería que no excedan 906000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Junta de Gobierno del Ayuntamiento de Almería' AND expedientes.procurement_project_type_code = 'Servicios' AND expedientes.total_amount < 906000;,expedientes,"{'tipo': 'Servicios', 'entidad': 'Junta de Gobierno del Ayuntamiento de Almería', 'cuantia': 906000}",entidad_tipo_cuantia_inferior
"¿Existen expedientes de Patrimonial en Comisión Ejecutiva de Transportes Urbanos de Sevilla, SAM con cuantía menor a 406000€ ahora mismo?","SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Comisión Ejecutiva de Transportes Urbanos de Sevilla, SAM' AND expedientes.procurement_project_type_code = 'Patrimonial' AND expedientes.total_amount < 406000;",expedientes,"{'tipo': 'Patrimonial', 'entidad': 'Comisión Ejecutiva de Transportes Urbanos de Sevilla, SAM', 'cuantia': 406000}",entidad_tipo_cuantia_inferior
¿Qué contratos de Suministros hay en Rectorado de la Universidad de Almería con cuantía menor a 818000€?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Rectorado de la Universidad de Almería' AND expedientes.procurement_project_type_code = 'Suministros' AND expedientes.total_amount < 818000;,expedientes,"{'tipo': 'Suministros', 'entidad': 'Rectorado de la Universidad de Almería', 'cuantia': 818000}",entidad_tipo_cuantia_inferior
"Necesito consultar expedientes de Concesión de Servicios en Mutua Universal Mugenat, Mutua Colaboradora con la Seguridad Social nº que no excedan 167000€.","SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Mutua Universal Mugenat, Mutua Colaboradora con la Seguridad Social nº' AND expedientes.procurement_project_type_code = 'Concesión de Servicios' AND expedientes.total_amount < 167000;",expedientes,"{'tipo': 'Concesión de Servicios', 'entidad': 'Mutua Universal Mugenat, Mutua Colaboradora con la Seguridad Social nº', 'cuantia': 167000}",entidad_tipo_cuantia_inferior
Muestra los expedientes de Privado en Junta de Gobierno Local del Ayuntamiento de Alcalá de Guadaíra que se sitúen por debajo de 520000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Junta de Gobierno Local del Ayuntamiento de Alcalá de Guadaíra' AND expedientes.procurement_project_type_code = 'Privado' AND expedientes.total_amount < 520000;,expedientes,"{'tipo': 'Privado', 'entidad': 'Junta de Gobierno Local del Ayuntamiento de Alcalá de Guadaíra', 'cuantia': 520000}",entidad_tipo_cuantia_inferior
Solicito información de expedientes de Servicios en Dirección General de Patrimonio y Contratación que no rebasen 757000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Dirección General de Patrimonio y Contratación' AND expedientes.procurement_project_type_code = 'Servicios' AND expedientes.total_amount < 757000;,expedientes,"{'tipo': 'Servicios', 'entidad': 'Dirección General de Patrimonio y Contratación', 'cuantia': 757000}",entidad_tipo_cuantia_inferior
¿Cuáles son los expedientes de Privado en Presidencia de la Autoridad Portuaria de la Bahía de Cádiz con cuantía inferior a 605000€?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Presidencia de la Autoridad Portuaria de la Bahía de Cádiz' AND expedientes.procurement_project_type_code = 'Privado' AND expedientes.total_amount < 605000;,expedientes,"{'tipo': 'Privado', 'entidad': 'Presidencia de la Autoridad Portuaria de la Bahía de Cádiz', 'cuantia': 605000}",entidad_tipo_cuantia_inferior
Muéstrame todos los expedientes de Servicios en Alcaldía del Ayuntamiento de Villanueva de San Juan que no superen 849000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldía del Ayuntamiento de Villanueva de San Juan' AND expedientes.procurement_project_type_code = 'Servicios' AND expedientes.total_amount < 849000;,expedientes,"{'tipo': 'Servicios', 'entidad': 'Alcaldía del Ayuntamiento de Villanueva de San Juan', 'cuantia': 849000}",entidad_tipo_cuantia_inferior
Filtra las licitaciones de Privado en Rectorado de la Universidad de La Laguna que estén por debajo de 646000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Rectorado de la Universidad de La Laguna' AND expedientes.procurement_project_type_code = 'Privado' AND expedientes.total_amount < 646000;,expedientes,"{'tipo': 'Privado', 'entidad': 'Rectorado de la Universidad de La Laguna', 'cuantia': 646000}",entidad_tipo_cuantia_inferior
Muéstrame todos los contratos de Privado en Alcaldia del Ayuntamiento de Moralzarzal que no superen 520000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldia del Ayuntamiento de Moralzarzal' AND expedientes.procurement_project_type_code = 'Privado' AND expedientes.total_amount < 520000;,expedientes,"{'tipo': 'Privado', 'entidad': 'Alcaldia del Ayuntamiento de Moralzarzal', 'cuantia': 520000}",entidad_tipo_cuantia_inferior
¿Qué expedientes de Gestión de Servicios Públicos hay en Dirección Gerencia de la Fundación Jóvenes y Deporte con cuantía menor a 558000€?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Dirección Gerencia de la Fundación Jóvenes y Deporte' AND expedientes.procurement_project_type_code = 'Gestión de Servicios Públicos' AND expedientes.total_amount < 558000;,expedientes,"{'tipo': 'Gestión de Servicios Públicos', 'entidad': 'Dirección Gerencia de la Fundación Jóvenes y Deporte', 'cuantia': 558000}",entidad_tipo_cuantia_inferior
Filtra todos los contratos de Gestión de Servicios Públicos en Comisión Ejecutiva de Gestion Integral del Agua de Huelva con un tope máximo de 121000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Comisión Ejecutiva de Gestion Integral del Agua de Huelva' AND expedientes.procurement_project_type_code = 'Gestión de Servicios Públicos' AND expedientes.total_amount < 121000;,expedientes,"{'tipo': 'Gestión de Servicios Públicos', 'entidad': 'Comisión Ejecutiva de Gestion Integral del Agua de Huelva', 'cuantia': 121000}",entidad_tipo_cuantia_inferior
Filtra todos los expedientes de Patrimonial en Alcaldia del Ayuntamiento de Palomares del Rio con un tope máximo de 347000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldia del Ayuntamiento de Palomares del Rio' AND expedientes.procurement_project_type_code = 'Patrimonial' AND expedientes.total_amount < 347000;,expedientes,"{'tipo': 'Patrimonial', 'entidad': 'Alcaldia del Ayuntamiento de Palomares del Rio', 'cuantia': 347000}",entidad_tipo_cuantia_inferior
Enséñame los expedientes de Gestión de Servicios Públicos en Alcaldía del Ayuntamiento de Navalmoral de la Mata cuyo importe sea inferior a 193000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldía del Ayuntamiento de Navalmoral de la Mata' AND expedientes.procurement_project_type_code = 'Gestión de Servicios Públicos' AND expedientes.total_amount < 193000;,expedientes,"{'tipo': 'Gestión de Servicios Públicos', 'entidad': 'Alcaldía del Ayuntamiento de Navalmoral de la Mata', 'cuantia': 193000}",entidad_tipo_cuantia_inferior
¿Tienes información sobre expedientes de Privado en Gerencia de la Empresa Municipal Autobuses de Córdoba S.A. (AUCORSA) con cuantías inferiores a 959000€?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Gerencia de la Empresa Municipal Autobuses de Córdoba S.A. (AUCORSA)' AND expedientes.procurement_project_type_code = 'Privado' AND expedientes.total_amount < 959000;,expedientes,"{'tipo': 'Privado', 'entidad': 'Gerencia de la Empresa Municipal Autobuses de Córdoba S.A. (AUCORSA)', 'cuantia': 959000}",entidad_tipo_cuantia_inferior
¿Podrías indicarme todos los expedientes de Obras en Rectorado de la Universidad de Zaragoza que no superen 562000€?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Rectorado de la Universidad de Zaragoza' AND expedientes.procurement_project_type_code = 'Obras' AND expedientes.total_amount < 562000;,expedientes,"{'tipo': 'Obras', 'entidad': 'Rectorado de la Universidad de Zaragoza', 'cuantia': 562000}",entidad_tipo_cuantia_inferior
Enseña los contratos de Patrimonial en Asamblea de Vocales de la Mancomunidad de Municipios Esla-Bernesga con importes inferiores a 619000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Asamblea de Vocales de la Mancomunidad de Municipios Esla-Bernesga' AND expedientes.procurement_project_type_code = 'Patrimonial' AND expedientes.total_amount < 619000;,expedientes,"{'tipo': 'Patrimonial', 'entidad': 'Asamblea de Vocales de la Mancomunidad de Municipios Esla-Bernesga', 'cuantia': 619000}",entidad_tipo_cuantia_inferior
Filtra los contratos de Concesión de Servicios en Alcaldía del Ayuntamiento de Badajoz que estén por debajo de 41000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldía del Ayuntamiento de Badajoz' AND expedientes.procurement_project_type_code = 'Concesión de Servicios' AND expedientes.total_amount < 41000;,expedientes,"{'tipo': 'Concesión de Servicios', 'entidad': 'Alcaldía del Ayuntamiento de Badajoz', 'cuantia': 41000}",entidad_tipo_cuantia_inferior
¿Podrías mostrarme los contratos de Privado en Alcaldía del Ayuntamiento de Santillana del Mar cuyo presupuesto sea menor a 474000€?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldía del Ayuntamiento de Santillana del Mar' AND expedientes.procurement_project_type_code = 'Privado' AND expedientes.total_amount < 474000;,expedientes,"{'tipo': 'Privado', 'entidad': 'Alcaldía del Ayuntamiento de Santillana del Mar', 'cuantia': 474000}",entidad_tipo_cuantia_inferior
Enséñame los contratos de Privado en Junta de Gobierno del Ayuntamiento de Albacete cuyo importe sea inferior a 24000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Junta de Gobierno del Ayuntamiento de Albacete' AND expedientes.procurement_project_type_code = 'Privado' AND expedientes.total_amount < 24000;,expedientes,"{'tipo': 'Privado', 'entidad': 'Junta de Gobierno del Ayuntamiento de Albacete', 'cuantia': 24000}",entidad_tipo_cuantia_inferior
¿Cuáles son los contratos de Privado en Aena. Dirección de Contratación con cuantía inferior a 82000€?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Aena. Dirección de Contratación' AND expedientes.procurement_project_type_code = 'Privado' AND expedientes.total_amount < 82000;,expedientes,"{'tipo': 'Privado', 'entidad': 'Aena. Dirección de Contratación', 'cuantia': 82000}",entidad_tipo_cuantia_inferior
Lista todas las licitaciones de Privado en Junta de Gobierno del Ayuntamiento de Aranjuez que no superen 193000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Junta de Gobierno del Ayuntamiento de Aranjuez' AND expedientes.procurement_project_type_code = 'Privado' AND expedientes.total_amount < 193000;,expedientes,"{'tipo': 'Privado', 'entidad': 'Junta de Gobierno del Ayuntamiento de Aranjuez', 'cuantia': 193000}",entidad_tipo_cuantia_inferior
¿Existen contratos de Suministros en Pleno del Ayuntamiento de Navia con cuantía menor a 490000€ en la actualidad?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Pleno del Ayuntamiento de Navia' AND expedientes.procurement_project_type_code = 'Suministros' AND expedientes.total_amount < 490000;,expedientes,"{'tipo': 'Suministros', 'entidad': 'Pleno del Ayuntamiento de Navia', 'cuantia': 490000}",entidad_tipo_cuantia_inferior
Quiero ver los contratos de Concesión de Servicios más recientes en Junta de Gobierno del Ayuntamiento de Vélez-Málaga con cuantía inferior a 978000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Junta de Gobierno del Ayuntamiento de Vélez-Málaga' AND expedientes.procurement_project_type_code = 'Concesión de Servicios' AND expedientes.total_amount < 978000;,expedientes,"{'tipo': 'Concesión de Servicios', 'entidad': 'Junta de Gobierno del Ayuntamiento de Vélez-Málaga', 'cuantia': 978000}",entidad_tipo_cuantia_inferior
¿Existen expedientes de Patrimonial en Junta de Gobierno Local del Ayuntamiento de Sada con cuantía menor a 306000€ ahora mismo?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Junta de Gobierno Local del Ayuntamiento de Sada' AND expedientes.procurement_project_type_code = 'Patrimonial' AND expedientes.total_amount < 306000;,expedientes,"{'tipo': 'Patrimonial', 'entidad': 'Junta de Gobierno Local del Ayuntamiento de Sada', 'cuantia': 306000}",entidad_tipo_cuantia_inferior
Muestra las licitaciones de Patrimonial en Presidencia de la Fundació Universitat-Empresa de Valéncia(Consell Social de la Universitat de Valéncia. Estudi General de Valéncia) de la Comunitat Valenciana que se sitúen por debajo de 530000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Presidencia de la Fundació Universitat-Empresa de Valéncia(Consell Social de la Universitat de Valéncia. Estudi General de Valéncia) de la Comunitat Valenciana' AND expedientes.procurement_project_type_code = 'Patrimonial' AND expedientes.total_amount < 530000;,expedientes,"{'tipo': 'Patrimonial', 'entidad': 'Presidencia de la Fundació Universitat-Empresa de Valéncia(Consell Social de la Universitat de Valéncia. Estudi General de Valéncia) de la Comunitat Valenciana', 'cuantia': 530000}",entidad_tipo_cuantia_inferior
Quiero ver los expedientes de Patrimonial más recientes en Presidencia de la Diputación Provincial de Alicante con cuantía inferior a 531000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Presidencia de la Diputación Provincial de Alicante' AND expedientes.procurement_project_type_code = 'Patrimonial' AND expedientes.total_amount < 531000;,expedientes,"{'tipo': 'Patrimonial', 'entidad': 'Presidencia de la Diputación Provincial de Alicante', 'cuantia': 531000}",entidad_tipo_cuantia_inferior
